"dim_browser" "dim_deviceCategory" "sessions" "transactions" "QTY" "dim_year" "dim_month"
"159" "Safari" "desktop" 1930 39 113 2012 7
"160" "Chrome" "mobile" 1252 18 30 2012 7
"161" "Internet Explorer" "desktop" 844 29 0 2012 7
"162" "Android Webview" "mobile" 425 0 0 2012 7
"163" "Samsung Internet" "mobile" 320 0 0 2012 7
"164" "Chrome" "tablet" 308 5 9 2012 7
"165" "Safari (in-app)" "tablet" 263 1 1 2012 7
"166" "Amazon Silk" "tablet" 77 1 0 2012 7
"167" "Firefox" "mobile" 20 1 1 2012 7
"168" "Internet Explorer" "tablet" 14 0 0 2012 7
"169" "Opera" "desktop" 12 0 0 2012 7
"170" "BlackBerry" "mobile" 7 0 0 2012 7
"171" "Edge" "mobile" 7 0 0 2012 7
"172" "SeaMonkey" "desktop" 7 0 0 2012 7
"173" "error" "desktop" 5 0 0 2012 7
"174" "YaBrowser" "tablet" 3 0 0 2012 7
"175" "Amazon Silk" "mobile" 2 0 0 2012 7
"176" "Maxthon" "desktop" 2 0 0 2012 7
"177" "(not set)" "mobile" 1 0 0 2012 7
"178" "Android Browser" "tablet" 1 0 0 2012 7
"179" "Mozilla" "desktop" 0 0 0 2012 7
"180" "Puffin" "mobile" 0 0 0 2012 7
"181" "Chrome" "desktop" 14087 355 631 2012 7
"182" "Safari" "mobile" 10392 41 90 2012 7
"183" "Safari" "desktop" 3190 148 312 2012 7
"184" "Firefox" "desktop" 1588 50 100 2012 7
"185" "Chrome" "mobile" 1418 9 10 2012 7
"186" "Safari (in-app)" "mobile" 475 0 1 2012 7
"187" "Internet Explorer" "tablet" 175 11 0 2012 7
"188" "Amazon Silk" "tablet" 38 3 3 2012 7
"189" "Internet Explorer" "mobile" 22 0 0 2012 7
"190" "Samsung Internet" "tablet" 17 0 0 2012 7
"191" "BlackBerry" "mobile" 14 0 0 2012 7
"192" "error" "desktop" 8 0 0 2012 7
"193" "UC Browser" "mobile" 3 0 0 2012 7
"194" "Android Browser" "mobile" 1 0 0 2012 7
"195" "anonymous" "desktop" 1 0 0 2012 7
"196" "Edge" "mobile" 1 0 0 2012 7
"197" "osee2unifiedRelease" "mobile" 1 0 0 2012 7
"198" "Edge" "tablet" 0 0 0 2012 7
"199" "Maxthon" "desktop" 0 0 0 2012 7
"200" "Safari" "mobile" 7650 111 193 2012 7
"201" "Firefox" "desktop" 2401 47 87 2012 7
"202" "Safari" "desktop" 1962 55 162 2012 7
"203" "Internet Explorer" "desktop" 1692 65 0 2012 7
"204" "Chrome" "mobile" 842 5 11 2012 7
"205" "Chrome" "tablet" 503 12 30 2012 7
"206" "Safari (in-app)" "mobile" 292 4 5 2012 7
"207" "Samsung Internet" "mobile" 204 0 3 2012 7
"208" "Internet Explorer" "mobile" 158 0 0 2012 7
"209" "Android Browser" "tablet" 24 0 0 2012 7
"210" "Firefox" "mobile" 12 1 6 2012 7
"211" "Android Webview" "tablet" 9 0 0 2012 7
"212" "Opera" "desktop" 8 0 1 2012 7
"213" "error" "desktop" 5 0 0 2012 7
"214" "SeaMonkey" "desktop" 3 0 0 2012 7
"215" "Edge" "mobile" 1 0 0 2012 7
"216" "Maxthon" "desktop" 1 0 0 2012 7
"217" "YaBrowser" "desktop" 1 0 0 2012 7
"218" "Edge" "tablet" 0 0 0 2012 7
"219" "Firefox" "tablet" 0 0 0 2012 7
"220" "Safari" "mobile" 19507 265 386 2012 7
"221" "Safari" "tablet" 8880 270 504 2012 7
"222" "Safari" "desktop" 5165 200 444 2012 7
"223" "Chrome" "desktop" 4352 122 211 2012 7
"224" "Internet Explorer" "desktop" 1521 42 72 2012 7
"225" "Safari (in-app)" "mobile" 1475 0 1 2012 7
"226" "Chrome" "tablet" 523 0 3 2012 7
"227" "Android Webview" "mobile" 468 0 0 2012 7
"228" "Amazon Silk" "tablet" 310 10 13 2012 7
"229" "Internet Explorer" "tablet" 61 0 0 2012 7
"230" "Android Webview" "tablet" 57 0 0 2012 7
"231" "Firefox" "mobile" 15 0 2 2012 7
"232" "Samsung Internet" "tablet" 15 1 0 2012 7
"233" "error" "desktop" 7 0 0 2012 7
"234" "Android Browser" "tablet" 5 0 0 2012 7
"235" "Edge" "mobile" 4 0 0 2012 7
"236" "SeaMonkey" "desktop" 3 1 1 2012 7
"237" "Maxthon" "desktop" 2 0 0 2012 7
"238" "Opera" "desktop" 2 0 0 2012 7
"239" "osee2unifiedRelease" "mobile" 1 0 0 2012 7
"240" "Android Browser" "mobile" 0 0 0 2012 7
"241" "Safari" "tablet" 5599 88 220 2012 7
"242" "Safari (in-app)" "mobile" 2292 17 24 2012 7
"243" "Safari (in-app)" "tablet" 1018 2 1 2012 7
"244" "Internet Explorer" "desktop" 826 30 0 2012 7
"245" "Amazon Silk" "tablet" 602 10 11 2012 7
"246" "error" "desktop" 8 0 0 2012 7
"247" "Android Webview" "tablet" 7 0 0 2012 7
"248" "Opera Mini" "mobile" 6 0 0 2012 7
"249" "Edge" "mobile" 5 0 0 2012 7
"250" "SeaMonkey" "desktop" 4 1 1 2012 7
"251" "BlackBerry" "mobile" 3 0 0 2012 7
"252" "Android Browser" "tablet" 2 0 0 2012 7
"253" "Iron" "mobile" 2 0 0 2012 7
"254" "Android Browser" "mobile" 1 0 0 2012 7
"255" "Chrome" "desktop" 15180 769 1454 2012 7
"256" "Safari" "tablet" 5226 96 159 2012 7
"257" "Safari" "desktop" 3006 191 335 2012 7
"258" "Edge" "desktop" 1303 27 58 2012 7
"259" "Safari (in-app)" "mobile" 736 0 0 2012 7
"260" "Chrome" "tablet" 630 7 8 2012 7
"261" "Samsung Internet" "mobile" 150 2 2 2012 7
"262" "Amazon Silk" "tablet" 125 6 8 2012 7
"263" "Android Browser" "mobile" 65 0 0 2012 7
"264" "Opera" "desktop" 37 1 2 2012 7
"265" "Android Webview" "tablet" 9 0 0 2012 7
"266" "Amazon Silk" "mobile" 6 0 0 2012 7
"267" "error" "desktop" 6 0 0 2012 7
"268" "Firefox" "tablet" 6 0 0 2012 7
"269" "BlackBerry" "mobile" 4 0 0 2012 7
"270" "Internet Explorer" "mobile" 2 0 0 2012 7
"271" "Opera" "tablet" 2 0 0 2012 7
"272" "Edge" "tablet" 1 0 0 2012 7
"273" "SeaMonkey" "desktop" 1 0 0 2012 7
"274" "DDG-Android-3.0.14" "desktop" 0 0 0 2012 7
"275" "Mozilla Compatible Agent" "desktop" 0 0 0 2012 7
"276" "Opera Mini" "mobile" 0 0 0 2012 7
"277" "Safari" "mobile" 8804 101 133 2012 7
"278" "Safari" "tablet" 7276 296 564 2012 7
"279" "Safari" "desktop" 5965 228 505 2012 7
"280" "Firefox" "desktop" 4770 369 590 2012 7
"281" "Chrome" "desktop" 3320 73 121 2012 7
"282" "Safari (in-app)" "mobile" 3220 16 60 2012 7
"283" "Chrome" "mobile" 680 3 4 2012 7
"284" "Edge" "desktop" 474 27 41 2012 7
"285" "Samsung Internet" "mobile" 431 2 1 2012 7
"286" "Amazon Silk" "tablet" 185 0 0 2012 7
"287" "Firefox" "mobile" 65 4 9 2012 7
"288" "Android Browser" "mobile" 40 0 0 2012 7
"289" "BlackBerry" "mobile" 16 0 0 2012 7
"290" "Android Browser" "tablet" 11 0 0 2012 7
"291" "Amazon Silk" "mobile" 6 1 1 2012 7
"292" "Opera" "desktop" 6 0 0 2012 7
"293" "error" "desktop" 3 0 0 2012 7
"294" "Firefox" "tablet" 1 0 0 2012 7
"295" "SeaMonkey" "desktop" 1 0 0 2012 7
"296" "Chrome" "mobile" 5224 14 10 2012 7
"297" "Safari" "mobile" 3255 0 0 2012 7
"298" "Firefox" "desktop" 1383 20 35 2012 7
"299" "Internet Explorer" "desktop" 958 32 0 2012 7
"300" "Safari (in-app)" "mobile" 943 3 12 2012 7
"301" "Chrome" "tablet" 615 10 38 2012 7
"302" "Samsung Internet" "tablet" 43 5 0 2012 7
"303" "Firefox" "mobile" 34 0 0 2012 7
"304" "Edge" "mobile" 17 0 0 2012 7
"305" "Opera" "desktop" 17 0 1 2012 7
"306" "BlackBerry" "mobile" 14 0 0 2012 7
"307" "Internet Explorer" "mobile" 5 0 0 2012 7
"308" "error" "desktop" 4 0 0 2012 7
"309" "Opera Mini" "mobile" 4 0 0 2012 7
"310" "Android Browser" "mobile" 1 0 0 2012 7
"311" "Firefox" "tablet" 0 0 0 2012 7
"312" "Chrome" "desktop" 11905 479 880 2012 7
"313" "Safari" "desktop" 4496 144 292 2012 7
"314" "Chrome" "mobile" 3615 71 132 2012 7
"315" "Internet Explorer" "desktop" 2482 75 1 2012 7
"316" "Android Webview" "mobile" 897 0 2 2012 7
"317" "Safari (in-app)" "mobile" 616 0 0 2012 7
"318" "Safari (in-app)" "tablet" 377 1 1 2012 7
"319" "Edge" "desktop" 369 3 0 2012 7
"320" "Amazon Silk" "tablet" 54 2 2 2012 7
"321" "DESKTOP" "desktop" 35 0 0 2012 7
"322" "Internet Explorer" "tablet" 12 0 0 2012 7
"323" "error" "desktop" 10 0 0 2012 7
"324" "Opera Mini" "mobile" 9 0 0 2012 7
"325" "Android Browser" "tablet" 5 0 0 2012 7
"326" "Edge" "mobile" 5 0 0 2012 7
"327" "Edge" "tablet" 3 0 0 2012 7
"328" "Maxthon" "desktop" 3 0 0 2012 7
"329" "Mozilla" "desktop" 3 0 0 2012 7
"330" "osee2unifiedRelease" "mobile" 3 0 0 2012 7
"331" "FeeddlerPro" "tablet" 2 0 0 2012 7
"332" "(not set)" "tablet" 0 0 0 2012 7
"333" "Safari" "mobile" 9608 185 388 2012 7
"334" "Chrome" "desktop" 7651 219 325 2012 7
"335" "Safari" "desktop" 3575 116 165 2012 7
"336" "Chrome" "mobile" 1285 8 25 2012 7
"337" "Safari (in-app)" "mobile" 1236 13 10 2012 7
"338" "Android Webview" "mobile" 579 2 4 2012 7
"339" "Internet Explorer" "tablet" 276 10 23 2012 7
"340" "Edge" "desktop" 203 5 8 2012 7
"341" "Safari (in-app)" "tablet" 136 0 0 2012 7
"342" "Firefox" "mobile" 49 1 2 2012 7
"343" "Amazon Silk" "tablet" 44 1 1 2012 7
"344" "Opera" "desktop" 27 0 0 2012 7
"345" "DESKTOP" "desktop" 20 0 0 2012 7
"346" "Samsung Internet" "tablet" 12 0 0 2012 7
"347" "Android Browser" "mobile" 6 0 0 2012 7
"348" "error" "desktop" 4 0 0 2012 7
"349" "Opera" "mobile" 3 0 0 2012 7
"350" "(not set)" "mobile" 1 0 0 2012 7
"351" "BlackBerry" "tablet" 1 0 0 2012 7
"352" "UC Browser" "mobile" 0 0 0 2012 7
"353" "Safari" "mobile" 4639 84 125 2012 7
"354" "Firefox" "desktop" 3530 80 191 2012 7
"355" "Safari" "tablet" 2568 98 187 2012 7
"356" "Internet Explorer" "desktop" 1821 80 0 2012 7
"357" "Chrome" "mobile" 1071 11 13 2012 7
"358" "Chrome" "tablet" 495 10 13 2012 7
"359" "Safari (in-app)" "mobile" 232 1 2 2012 7
"360" "Android Webview" "mobile" 112 2 0 2012 7
"361" "Amazon Silk" "tablet" 72 0 0 2012 7
"362" "Samsung Internet" "tablet" 56 0 0 2012 7
"363" "Opera" "desktop" 40 0 2 2012 7
"364" "BlackBerry" "mobile" 11 0 0 2012 7
"365" "Edge" "tablet" 6 0 0 2012 7
"366" "error" "desktop" 4 0 0 2012 7
"367" "SonyEricssonK700c" "mobile" 1 0 0 2012 7
"368" "YaBrowser" "desktop" 1 1 1 2012 7
"369" "Chrome" "desktop" 8102 378 744 2012 7
"370" "Safari" "desktop" 2496 107 164 2012 7
"371" "Safari (in-app)" "mobile" 1460 21 22 2012 7
"372" "Chrome" "mobile" 767 7 16 2012 7
"373" "Android Webview" "mobile" 653 0 0 2012 7
"374" "Internet Explorer" "desktop" 586 24 6 2012 7
"375" "Safari (in-app)" "tablet" 317 1 3 2012 7
"376" "Chrome" "tablet" 234 3 4 2012 7
"377" "Internet Explorer" "tablet" 174 4 0 2012 7
"378" "Samsung Internet" "mobile" 167 0 0 2012 7
"379" "Samsung Internet" "tablet" 40 0 0 2012 7
"380" "Android Webview" "tablet" 24 0 0 2012 7
"381" "Opera" "desktop" 23 5 3 2012 7
"382" "Android Browser" "mobile" 6 0 0 2012 7
"383" "Android Browser" "tablet" 6 0 0 2012 7
"384" "BlackBerry" "mobile" 5 0 0 2012 7
"385" "Opera Mini" "mobile" 5 0 0 2012 7
"386" "UC Browser" "mobile" 5 0 0 2012 7
"387" "error" "desktop" 4 0 0 2012 7
"388" "Amazon Silk" "mobile" 2 0 0 2012 7
"389" "Edge" "mobile" 2 0 0 2012 7
"390" "Safari" "tablet" 2686 68 80 2012 7
"391" "Safari" "desktop" 1926 59 98 2012 7
"392" "Chrome" "tablet" 272 5 3 2012 7
"393" "Firefox" "mobile" 45 0 0 2012 7
"394" "Internet Explorer" "tablet" 14 0 0 2012 7
"395" "Opera" "desktop" 11 0 0 2012 7
"396" "BlackBerry" "mobile" 10 0 0 2012 7
"397" "error" "desktop" 7 0 0 2012 7
"398" "Internet Explorer" "mobile" 7 0 0 2012 7
"399" "SeaMonkey" "desktop" 4 0 0 2012 7
"400" "Edge" "tablet" 1 0 0 2012 7
"401" "Opera" "tablet" 1 0 0 2012 7
"402" "Opera Mini" "mobile" 1 0 0 2012 7
"403" "Samsung Internet" "desktop" 1 0 0 2012 7
"404" "UC Browser" "mobile" 1 0 0 2012 7
"405" "Firefox" "tablet" 0 0 0 2012 7
"406" "Mozilla Compatible Agent" "desktop" 0 0 0 2012 7
"407" "YaBrowser" "desktop" 0 0 0 2012 7
"408" "Safari" "tablet" 13187 1148 2009 2012 7
"409" "Firefox" "desktop" 3189 90 139 2012 7
"410" "Chrome" "mobile" 1993 28 45 2012 7
"411" "Internet Explorer" "desktop" 594 29 0 2012 7
"412" "Safari (in-app)" "tablet" 354 4 1 2012 7
"413" "Chrome" "tablet" 346 14 31 2012 7
"414" "Amazon Silk" "tablet" 285 4 7 2012 7
"415" "Internet Explorer" "tablet" 206 12 0 2012 7
"416" "Samsung Internet" "mobile" 147 2 3 2012 7
"417" "Samsung Internet" "tablet" 27 0 0 2012 7
"418" "error" "desktop" 16 0 0 2012 7
"419" "Android Webview" "tablet" 9 0 0 2012 7
"420" "SeaMonkey" "desktop" 9 1 7 2012 7
"421" "Amazon Silk" "mobile" 5 0 2 2012 7
"422" "Firefox" "mobile" 5 0 0 2012 7
"423" "Opera" "mobile" 4 0 0 2012 7
"424" "Android Browser" "mobile" 2 0 0 2012 7
"425" "UC Browser" "mobile" 2 0 0 2012 7
"426" "Puffin" "desktop" 1 0 0 2012 7
"427" "TimesTablet" "tablet" 0 0 0 2012 7
"428" "Safari" "tablet" 2307 47 122 2012 7
"429" "Chrome" "mobile" 1009 14 18 2012 7
"430" "Safari (in-app)" "mobile" 858 3 21 2012 7
"431" "Chrome" "tablet" 606 8 15 2012 7
"432" "Safari (in-app)" "tablet" 480 0 0 2012 7
"433" "Samsung Internet" "mobile" 274 0 7 2012 7
"434" "Android Webview" "mobile" 254 0 0 2012 7
"435" "Internet Explorer" "tablet" 238 15 0 2012 7
"436" "Internet Explorer" "mobile" 15 0 0 2012 7
"437" "Firefox" "mobile" 14 0 0 2012 7
"438" "error" "desktop" 8 0 0 2012 7
"439" "BlackBerry" "mobile" 6 0 0 2012 7
"440" "Opera" "mobile" 6 0 0 2012 7
"441" "(not set)" "mobile" 4 0 0 2012 7
"442" "Edge" "mobile" 3 1 0 2012 7
"443" "Opera" "tablet" 1 0 0 2012 7
"444" "Safari" "tablet" 19688 428 811 2012 7
"445" "Safari" "mobile" 3413 62 78 2012 7
"446" "Safari" "desktop" 2323 67 142 2012 7
"447" "Safari (in-app)" "mobile" 1691 1 6 2012 7
"448" "Android Webview" "mobile" 561 0 1 2012 7
"449" "BlackBerry" "mobile" 28 0 0 2012 7
"450" "Samsung Internet" "tablet" 25 0 0 2012 7
"451" "Amazon Silk" "mobile" 14 0 0 2012 7
"452" "error" "desktop" 11 0 0 2012 7
"453" "Internet Explorer" "mobile" 4 0 0 2012 7
"454" "SeaMonkey" "desktop" 4 0 0 2012 7
"455" "Coc Coc" "desktop" 1 0 0 2012 7
"456" "Opera" "mobile" 1 0 0 2012 7
"457" "osee2unifiedRelease" "mobile" 1 0 0 2012 7
"458" "Puffin" "desktop" 1 0 0 2012 7
"459" "Edge" "tablet" 0 0 0 2012 7
"460" "Opera Mini" "mobile" 0 0 0 2012 7
"461" "Safari" "mobile" 11040 87 176 2012 7
"462" "Safari" "desktop" 5426 225 405 2012 7
"463" "Safari" "tablet" 2527 50 97 2012 7
"464" "Edge" "desktop" 874 35 55 2012 7
"465" "Firefox" "desktop" 769 30 66 2012 7
"466" "Safari (in-app)" "tablet" 336 1 0 2012 7
"467" "Chrome" "tablet" 187 6 5 2012 7
"468" "Amazon Silk" "tablet" 76 0 0 2012 7
"469" "Opera" "desktop" 53 3 5 2012 7
"470" "Samsung Internet" "tablet" 30 0 0 2012 7
"471" "SeaMonkey" "desktop" 14 0 0 2012 7
"472" "BlackBerry" "mobile" 10 0 0 2012 7
"473" "Android Browser" "mobile" 8 0 0 2012 7
"474" "error" "desktop" 7 0 0 2012 7
"475" "Android Browser" "tablet" 5 0 0 2012 7
"476" "Opera" "mobile" 3 0 0 2012 7
"477" "UC Browser" "mobile" 3 0 0 2012 7
"478" "YaBrowser" "desktop" 3 0 0 2012 7
"479" "Internet Explorer" "mobile" 2 0 0 2012 7
"480" "Opera" "tablet" 2 0 0 2012 7
"481" "UC Browser" "tablet" 2 0 0 2012 7
"482" "Firefox" "tablet" 1 0 0 2012 7
"483" "Safari" "desktop" 11368 551 1066 2012 7
"484" "Safari (in-app)" "mobile" 2312 12 19 2012 7
"485" "Edge" "desktop" 1547 25 44 2012 7
"486" "Safari (in-app)" "tablet" 1152 13 29 2012 7
"487" "Samsung Internet" "mobile" 582 1 8 2012 7
"488" "Internet Explorer" "tablet" 551 29 12 2012 7
"489" "Chrome" "tablet" 412 15 33 2012 7
"490" "Android Webview" "mobile" 190 0 0 2012 7
"491" "Amazon Silk" "tablet" 70 2 6 2012 7
"492" "Opera" "desktop" 30 0 0 2012 7
"493" "Edge" "mobile" 7 0 0 2012 7
"494" "error" "desktop" 3 0 0 2012 7
"495" "Mozilla" "desktop" 3 0 0 2012 7
"496" "Opera" "mobile" 3 0 1 2012 7
"497" "Opera" "tablet" 2 0 0 2012 7
"498" "SeaMonkey" "desktop" 2 0 0 2012 7
"499" "osee2unifiedRelease" "mobile" 1 0 0 2012 7
"500" "Amazon Silk" "desktop" 0 0 0 2012 7
"501" "Chrome" "desktop" 3921 116 260 2012 7
"502" "Safari" "mobile" 3140 40 62 2012 7
"503" "Firefox" "desktop" 1620 31 61 2012 7
"504" "Safari (in-app)" "tablet" 1227 12 20 2012 7
"505" "Edge" "desktop" 964 10 19 2012 7
"506" "Internet Explorer" "desktop" 947 27 44 2012 7
"507" "Safari (in-app)" "mobile" 725 4 3 2012 7
"508" "Chrome" "mobile" 626 4 10 2012 7
"509" "Android Webview" "mobile" 580 0 0 2012 7
"510" "Internet Explorer" "tablet" 345 11 0 2012 7
